term_localName,label,skos_broader,skos_inScheme,skos_exactMatch,controlled_value_string,definition,usage,notes,examples,dcam_memberOf,type
m036,Photoshop,m003,m,,image/vnd.adobe.photoshop,media subtype for Photoshop images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m037,extended MPEG-2 Transport Stream,m006,m,,video/vnd.dlna.mpeg-tts,media subtype for extended MPEG-2 Transport Stream,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m038,FLAC,m002,m,,audio/x-flac,media subtype for Free Lossless Audio Codec audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m039,WMA,m002,m,,audio/x-ms-wma,media subtype for Windows Media Audio,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m040,WMV,m006,m,,video/x-ms-asf,media subtype for Windows Media Video,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m041,ASF,m001,m,,application/ms-asf,media subtype for Advanced Systems Format,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m042,SVG,m003,m,,image/svg+xml,media subtype for SVG images,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m043,data CD,m001,m,,Data-CD,physical data compact disc,,,,,http://www.w3.org/2004/02/skos/core#Concept
m044,audio CD,m002,m,,Audio-CD,physical audio compact disc,,,,,http://www.w3.org/2004/02/skos/core#Concept
m045,video CD,m006,m,,Video-CD,physical video compact disc,,,,,http://www.w3.org/2004/02/skos/core#Concept
m046,data DVD,m001,m,,Data-DVD,physical data DVD,,,,,http://www.w3.org/2004/02/skos/core#Concept
m047,audio DVD,m002,m,,Audio-DVD,physical audio DVD,,,,,http://www.w3.org/2004/02/skos/core#Concept
m048,PAL video DVD,m006,m,,Video-DVD-PAL,physical PAL video DVD,,,,,http://www.w3.org/2004/02/skos/core#Concept
m049,NTSC video DVD,m006,m,,Video-DVD-NTSC,physical NTSC video DVD,,,,,http://www.w3.org/2004/02/skos/core#Concept
m050,photographic slide,m003,m,,photographic slide,physical photographic slide,,,,,http://www.w3.org/2004/02/skos/core#Concept
m051,photographic print,m003,m,,photographic print,physical photographic print,,,,,http://www.w3.org/2004/02/skos/core#Concept
m052,Blu-ray video disc,m006,m,,Blu-ray,physical Blu-ray video disc,,,,,http://www.w3.org/2004/02/skos/core#Concept
m053,physical artwork,m003,m,,physical artwork,physical drawing or painting (non-photographic),,,,,http://www.w3.org/2004/02/skos/core#Concept
m054,ZVI,m003,m,,image/zvi,unofficial media subtype for Zeiss Vision Image images,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept
m055,STL,m004,m,,model/stl,media subtype for steriolithography files,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m056,reel-to-reel audio tape,m002,m,,audio tape,physical analogue audio tape (reel-to-reel),,,,,http://www.w3.org/2004/02/skos/core#Concept
m057,audio cassette,m002,m,,audio cassette,physical analogue audio cassette,,,,,http://www.w3.org/2004/02/skos/core#Concept
m058,digital audio tape,m002,m,,DAT,physical digital audio tape (DAT),,,,,http://www.w3.org/2004/02/skos/core#Concept
m059,MiniDisc,m002,m,,MiniDisc,physical MiniDisc ,,,,,http://www.w3.org/2004/02/skos/core#Concept
m060,vinyl record,m002,m,,vinyl,physical vinyl record,,,,,http://www.w3.org/2004/02/skos/core#Concept
m061,mixed CD (data and audio),m001,m,,Mixed-CD,physical compact disc containing both data and audio tracks,,,,,http://www.w3.org/2004/02/skos/core#Concept
m062,OBJ,m004,m,,model/obj,media subtype for OBJ 3D models,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m063,gLTF binary,m004,m,,model/gltf-binary,media subtype for Binary GL Transmission Format,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m064,gLTF,m004,m,,model/gltf+json,media subtype for GL Transmission Format,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m065,VRML,m004,m,,model/vrml,media subtype for Virtual Reality Modeling Language,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m066,DICOM,m001,m,,application/dicom,media subtype for Digital Imaging and Communications in Medicine,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m067,MTL,m004,m,,model/mtl,media subtype for OBJ Material Template Library,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m068,X3D XML,m004,m,,model/x3d+xml,media subtype for X3D XML models,,,,http://purl.org/dc/terms/IMT,http://www.w3.org/2004/02/skos/core#Concept
m069,CIFF raw image,m003,m,,image/x-canon-crw,unofficial media subtype for Camera Image File Format raw image,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept
m070,CR3 raw image,m003,m,,image/x-canon-cr3,unofficial media subtype for Canon Raw 3 image,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept
m071,ARW raw image,m003,m,,image/x-sony-arw,unofficial media subtype for Sony raw image,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept
m072,RW2 raw image,m003,m,,image/x-panasonic-rw2,unofficial media subtype for Panasonic raw image,,"This media subtype is in use, but there is no subtype on the official IANA list.",,,http://www.w3.org/2004/02/skos/core#Concept
e001,plain text,,e,m019,txt,file extension for palin text,,,,,http://www.w3.org/2004/02/skos/core#Concept
e002,Word (pre-2003) document,,e,m020,doc,file extension for Microsoft Word (2003 and before) documents,,,,,http://www.w3.org/2004/02/skos/core#Concept
e003,Word (post-2007) document,,e,m021,docx,file extension for Microsoft Word (2007 and after) documents,,,,,http://www.w3.org/2004/02/skos/core#Concept
e004,PNG,,e,m007,png,file extension for portable network graphics images,,,,,http://www.w3.org/2004/02/skos/core#Concept
e005,JPEG,,e,m008,jpg,file extension for JPEG images,,,,,http://www.w3.org/2004/02/skos/core#Concept
e006,PDF,,e,m018,pdf,file extension for PDF documents,,,,,http://www.w3.org/2004/02/skos/core#Concept
e007,TIFF,,e,m011,tif,file extension for TIFF images,,,,,http://www.w3.org/2004/02/skos/core#Concept
e008,Digital Negative,,e,m022,dng,file extension for Digital Negative images,,,,,http://www.w3.org/2004/02/skos/core#Concept
e009,Canon Raw,,e,m023,cr2,file extension for Canon Raw images,,,,,http://www.w3.org/2004/02/skos/core#Concept
e010,JPEG 2000,,e,m024,jp2,file extension for JPEG 2000 images,,,,,http://www.w3.org/2004/02/skos/core#Concept
e011,WAVE,,e,m025,wav,file extension for WAVE audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
e012,MP3,,e,m016,mp3,ffle extension for MP3 audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
e013,Nikon NEF Raw,,e,m026,nef,file extension for Nikon NEF Raw images,,,,,http://www.w3.org/2004/02/skos/core#Concept
e014,MP4 audio,,e,m015,m4a,file extension for MP4 audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
e015,MP4 video,,e,m012,mp4,file extension for MP4 video,,,,,http://www.w3.org/2004/02/skos/core#Concept
e016,GIF,,e,m010,gif,file extension for GIF images,,,,,http://www.w3.org/2004/02/skos/core#Concept
e017,BMP,,e,m009,bmp,file extension for bitmap images,,,,,http://www.w3.org/2004/02/skos/core#Concept
e018,M4V,,e,m027,m4v,file extension for Apple M4V videos,,,,,http://www.w3.org/2004/02/skos/core#Concept
e019,PLY,,e,,ply,file extension for Polygon File Format,,"The media subtype is apparently text/plain, which would not be distinguishable from other types of plain text.",,,http://www.w3.org/2004/02/skos/core#Concept
e020,STL,,e,m055,stl,file extension for steriolithography files,,,,,http://www.w3.org/2004/02/skos/core#Concept
e021,3GPP,,e,m028,3gp,file extension for 3GPP video,,,,,http://www.w3.org/2004/02/skos/core#Concept
e022,ZVI,,e,m054,zvi,file extension for Zeiss Vision Image images,,,,,http://www.w3.org/2004/02/skos/core#Concept
e023,AVI,,e,m029,avi,file extension for AVI video,,,,,http://www.w3.org/2004/02/skos/core#Concept
e024,AMR,,e,m030,amr,file extension for Adaptive Multi-Rate audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
e025,AIFF,,e,m031,aiff,file extension for Audio Interchange File Format audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
e026,OGG audio,,e,m032,ogg,file extension for OGG audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
e027,OGG video,,e,m033,ogv,file extension for OGG video,,,,,http://www.w3.org/2004/02/skos/core#Concept
e028,OGG multiplex,,e,m034,ogx,file extension for OGG multiplex,,,,,http://www.w3.org/2004/02/skos/core#Concept
e029,Kodak Photo CD image,,e,m035,pcd,file extension for Kodak Photo CD image,,,,,http://www.w3.org/2004/02/skos/core#Concept
e030,QuickTime,,e,m014,mov,file extension for Apple QuickTime video,,,,,http://www.w3.org/2004/02/skos/core#Concept
e031,Photoshop,,e,m036,psd,file extension for Photoshop images,,,,,http://www.w3.org/2004/02/skos/core#Concept
e032,FLAC,,e,m038,flac,file extension for Free Lossless Audio Codec audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
e033,MWA,,e,m039,wma,file extension for Windows Media Audio,,,,,http://www.w3.org/2004/02/skos/core#Concept
e034,WMV,,e,m040,wmv,file extension for Windows Media Video,,,,,http://www.w3.org/2004/02/skos/core#Concept
e035,ASF,,e,m041,asf,file extension for Advanced Systems Format,,,,,http://www.w3.org/2004/02/skos/core#Concept
e036,SVG,,e,m042,svg,file extension for SVG images,,,,,http://www.w3.org/2004/02/skos/core#Concept
e037,OBJ,,e,m062,obj,file extension for OBJ,,,,,http://www.w3.org/2004/02/skos/core#Concept
e038,gLTF binary,,e,m063,glb,file extension for Binary GL Transmission Format,,,,,http://www.w3.org/2004/02/skos/core#Concept
e039,gLTF,,e,m064,gltf,file extension for GL Transmission Format,,,,,http://www.w3.org/2004/02/skos/core#Concept
e040,VRML,,e,m065,wrl,file extension for Virtual Reality Modeling Language,,,,,http://www.w3.org/2004/02/skos/core#Concept
e041,DICOM,,e,m066,dcm,file extension for Digital Imaging and Communications in Medicine,,,,,http://www.w3.org/2004/02/skos/core#Concept
e042,MTL,,e,m067,mtl,file extension for OBJ Material Template Library,,,,,http://www.w3.org/2004/02/skos/core#Concept
e043,X3D VRML,,e,m017,x3dv,file extension for X3D VRML models,,,,,http://www.w3.org/2004/02/skos/core#Concept
e044,X3D XML,,e,m068,x3d,file extension for X3D XML models,,,,,http://www.w3.org/2004/02/skos/core#Concept
e045,CIFF raw image,,e,m069,crw,file extension for Camera Image File Format raw image,,,,,http://www.w3.org/2004/02/skos/core#Concept
e046,CR3 raw image,,e,m070,cr3,file extension for Canon Raw 3 image,,,,,http://www.w3.org/2004/02/skos/core#Concept
e047,ARW raw image,,e,m071,arw,file extension for Sony raw image,,,,,http://www.w3.org/2004/02/skos/core#Concept
e048,RW2 raw image,,e,m072,rw2,file extension for Panasonic raw image,,,,,http://www.w3.org/2004/02/skos/core#Concept
